state,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,year,Total People Experiencing Homelessness,gdp,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,gini,international_migration,unemployment_rate
Maine,0.184,0.066,0.117,0.251,0.15,0.232,2020,2097,70740.0,11537,20098,28894,1289612,0.4493,1605,0.054
Maryland,0.235,0.085,0.118,0.247,0.144,0.171,2020,6360,410931.0,44615,452059,1963360,3595768,0.4526,13078,0.068
Massachusetts,0.204,0.086,0.134,0.257,0.135,0.184,2020,17975,585150.3,42509,542099,689362,5619604,0.4826,25247,0.089
Michigan,0.226,0.092,0.123,0.236,0.128,0.196,2020,8638,520105.3,92800,369384,1499982,8004389,0.4655,7753,0.099
Minnesota,0.244,0.094,0.117,0.253,0.133,0.16,2020,7940,376814.4,89130,322504,456060,4789648,0.4491,7360,0.062
Mississippi,0.248,0.08,0.127,0.252,0.125,0.168,2020,1107,115123.4,19561,37940,1141283,1768002,0.4838,787,0.081
Missouri,0.239,0.089,0.112,0.243,0.133,0.184,2020,6527,330249.9,46253,161238,776770,5167287,0.4634,5360,0.061
Montana,0.228,0.074,0.123,0.233,0.135,0.207,2020,1545,52355.8,78116,13296,11046,978119,0.4611,990,0.059
Nebraska,0.256,0.105,0.123,0.247,0.11,0.158,2020,2404,134580.8,33889,60142,118129,1725392,0.4432,1837,0.042
Nevada,0.234,0.088,0.127,0.261,0.12,0.17,2020,6900,172562.6,62401,339340,368812,2367706,0.4638,4562,0.128
New Hampshire,0.193,0.071,0.132,0.236,0.144,0.226,2020,1675,88337.7,5407,45152,30696,1285020,0.4404,2313,0.067
New Jersey,0.233,0.072,0.116,0.282,0.126,0.171,2020,9662,620085.9,69912,950124,1421916,6440419,0.4788,19674,0.098
New Mexico,0.235,0.095,0.117,0.229,0.117,0.208,2020,3333,98790.0,246161,48021,68577,1743560,0.4742,2687,0.084
New York,0.221,0.091,0.129,0.239,0.134,0.186,2020,91271,1740804.7,230299,1881911,3604597,13619969,0.5127,35181,0.1
North Carolina,0.225,0.097,0.12,0.252,0.133,0.172,2020,9280,598915.9,180238,391163,2453861,7575561,0.4759,13387,0.073
North Dakota,0.248,0.104,0.137,0.22,0.122,0.169,2020,541,54422.9,46239,14951,30495,673624,0.4508,577,0.051
Ohio,0.23,0.094,0.125,0.217,0.14,0.194,2020,10655,684382.5,45427,336291,1658318,9653181,0.4646,13303,0.081
Oklahoma,0.261,0.096,0.111,0.252,0.113,0.167,2020,3932,190063.6,439943,115635,361521,3063684,0.4673,2821,0.061
Oregon,0.214,0.092,0.134,0.267,0.101,0.193,2020,14655,247966.7,96577,256465,125990,3762475,0.4579,1908,0.076
Pennsylvania,0.217,0.089,0.128,0.236,0.137,0.193,2020,13375,771613.2,62598,529546,1660533,10530577,0.4702,14523,0.091
Rhode Island,0.207,0.076,0.129,0.274,0.138,0.178,2020,1104,60770.6,13419,43723,104211,895772,0.4661,1193,0.094
South Carolina,0.224,0.086,0.119,0.251,0.127,0.193,2020,4287,245359.5,31984,113140,1441509,3631407,0.477,6023,0.062
South Dakota,0.26,0.079,0.122,0.236,0.119,0.183,2020,1058,55681.2,85421,16946,26365,763985,0.4413,1856,0.046
Tennessee,0.228,0.088,0.119,0.265,0.127,0.173,2020,7256,379007.1,36559,155853,1219237,5475185,0.4775,3280,0.075
Texas,0.27,0.096,0.129,0.254,0.113,0.139,2020,27229,1789933.4,340004,1721732,3984144,23314879,0.4765,54650,0.076
Utah,0.307,0.107,0.126,0.246,0.094,0.12,2020,3131,202133.4,57493,139944,62659,2989783,0.4245,2189,0.047
Vermont,0.199,0.065,0.126,0.245,0.137,0.227,2020,1110,34018.6,3219,13486,11678,594964,0.4485,542,0.056
Virginia,0.232,0.089,0.124,0.268,0.133,0.153,2020,5957,556992.6,54040,671362,1801495,6063666,0.4735,20721,0.062
Washington,0.229,0.087,0.142,0.268,0.128,0.146,2020,22923,612969.1,179917,893265,430125,6190305,0.4574,18301,0.084
West Virginia,0.209,0.076,0.114,0.256,0.139,0.206,2020,1341,76547.9,4797,17696,75782,1686512,0.4661,996,0.083
Wisconsin,0.221,0.069,0.139,0.249,0.16,0.162,2020,4515,340591.1,78876,197416,435275,5121088,0.4448,4287,0.063
Wyoming,0.245,0.087,0.13,0.226,0.127,0.186,2020,612,36330.4,18038,7858,9971,546461,0.4393,174,0.058
