state,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,year,Total People Experiencing Homelessness,gdp,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,gini,international_migration,unemployment_rate
Vermont,0.22,0.095,0.1,0.299,0.142,0.143,2009,8852,26099.2,3098,8606,8372,604741,0.43,421,0.069
Virginia,0.254,0.092,0.117,0.295,0.119,0.122,2009,1214,410967.4,44517,475414,1623781,5782225,0.46,20928,0.069
Washington,0.251,0.091,0.125,0.289,0.123,0.12,2009,22782,351245.0,144735,571869,305941,5644881,0.44,19956,0.094
West Virginia,0.224,0.086,0.112,0.283,0.14,0.156,2009,6525,63600.7,4260,14146,70465,1758904,0.46,558,0.076
Wisconsin,0.246,0.094,0.114,0.292,0.122,0.132,2009,1667,247210.0,66166,138569,389316,5075213,0.43,6798,0.087
Wyoming,0.251,0.099,0.12,0.278,0.129,0.122,2009,515,36252.0,15669,5607,7133,531442,0.42,361,0.063
Alabama,0.254,0.094,0.113,0.276,0.126,0.138,2010,6046,177249.2,35759,65216,1281634,3402905,0.47,1053,0.093
Alaska,0.287,0.094,0.125,0.292,0.125,0.077,2010,1863,53331.6,120775,51550,31750,509907,0.42,480,0.08
Arizona,0.27,0.093,0.119,0.261,0.116,0.14,2010,13711,251153.0,359579,225783,317872,5504108,0.46,2723,0.104
Arkansas,0.26,0.091,0.111,0.27,0.124,0.143,2010,2762,101486.5,29140,47581,467425,2377852,0.46,880,0.079
California,0.265,0.101,0.127,0.282,0.111,0.114,2010,123480,1954092.7,740722,5542105,2722583,28314140,0.47,19063,0.124
Colorado,0.259,0.093,0.128,0.289,0.122,0.109,2010,15482,258300.2,93358,172617,247243,4534321,0.46,2532,0.09
Connecticut,0.244,0.082,0.104,0.303,0.128,0.14,2010,4316,234700.0,20162,152313,417462,2989236,0.49,2481,0.093
Delaware,0.245,0.092,0.112,0.281,0.128,0.143,2010,982,58163.5,6558,31903,205578,655608,0.44,400,0.08
District of Columbia,0.184,0.132,0.186,0.27,0.109,0.118,2010,6539,106146.9,4010,24898,318416,257958,,757,
Florida,0.227,0.089,0.106,0.277,0.127,0.175,2010,57551,746928.9,99581,543824,3187920,15014818,0.47,22735,0.113
Georgia,0.274,0.094,0.12,0.291,0.114,0.107,2010,19836,418091.3,53976,356124,3070994,6231115,0.47,4369,0.102
Hawaii,0.24,0.088,0.11,0.278,0.135,0.149,2010,5834,66872.9,6038,912180,34136,411650,0.43,2033,0.068
Idaho,0.289,0.094,0.119,0.257,0.116,0.125,2010,2346,55587.6,29929,25913,15358,1499619,0.43,187,0.087
Illinois,0.259,0.091,0.125,0.284,0.117,0.124,2010,14395,666404.8,86391,645883,1967465,10140806,0.47,4946,0.104
Indiana,0.263,0.091,0.115,0.281,0.122,0.128,2010,6452,282562.2,28957,119608,645754,5696236,0.44,2493,0.101
Iowa,0.252,0.091,0.114,0.272,0.126,0.145,2010,3014,142233.9,15518,60399,108474,2866428,0.43,1513,0.063
Kansas,0.272,0.093,0.115,0.27,0.12,0.131,2010,2024,128591.3,40704,78730,196488,2542344,0.45,998,0.071
Kentucky,0.249,0.09,0.117,0.284,0.128,0.132,2010,6623,166408.7,12890,58184,366299,3911091,0.47,1630,0.102
Louisiana,0.264,0.101,0.121,0.27,0.121,0.122,2010,12482,225308.9,36179,79930,1490626,2937900,0.48,1320,0.074
Maine,0.218,0.077,0.1,0.299,0.149,0.158,2010,2379,52256.2,10434,15294,19913,1282010,0.44,322,0.082
Maryland,0.248,0.091,0.118,0.297,0.124,0.123,2010,10845,314728.3,36401,356880,1789457,3606046,0.44,6709,0.078
Massachusetts,0.232,0.089,0.118,0.298,0.127,0.137,2010,16646,411136.1,35252,385456,543578,5602154,0.48,9025,0.083
Michigan,0.251,0.09,0.106,0.286,0.13,0.137,2010,13058,390043.0,85726,267638,1482896,8041337,0.45,4691,0.127
Minnesota,0.255,0.086,0.123,0.287,0.122,0.126,2010,7869,274231.3,78038,234473,314152,4684271,0.44,3026,0.074
Mississippi,0.274,0.093,0.112,0.271,0.121,0.129,2010,2743,93943.1,17589,30383,1117498,1805145,0.47,673,0.105
Missouri,0.252,0.092,0.114,0.279,0.124,0.139,2010,8122,259816.1,39039,118084,736352,5102614,0.46,2007,0.093
Montana,0.243,0.083,0.111,0.27,0.144,0.15,2010,1615,38336.1,69451,8214,7097,905968,0.44,385,0.068
Nebraska,0.265,0.092,0.122,0.268,0.121,0.132,2010,3877,91561.5,26047,38527,96754,1668263,0.43,714,0.047
Nevada,0.261,0.091,0.127,0.281,0.119,0.122,2010,11205,124669.4,49869,243823,256689,2152102,0.45,989,0.138
New Hampshire,0.232,0.078,0.099,0.315,0.141,0.135,2010,1574,64843.6,4539,31614,20167,1260487,0.43,501,0.061
New Jersey,0.248,0.082,0.113,0.301,0.121,0.134,2010,13737,492762.4,58558,782723,1335855,6622315,0.46,7070,0.096
New Mexico,0.267,0.096,0.11,0.265,0.128,0.134,2010,3475,84611.5,221295,38307,58343,1746669,0.46,450,0.079
New York,0.237,0.095,0.123,0.289,0.122,0.134,2010,65606,1223529.7,215287,1570615,3531155,14082899,0.5,19025,0.086
North Carolina,0.256,0.089,0.116,0.287,0.123,0.13,2010,12191,420027.6,157367,244033,2161166,7012020,0.46,4867,0.108
North Dakota,0.241,0.108,0.12,0.265,0.126,0.141,2010,799,35676.2,39332,8160,10589,616671,0.43,468,0.038
Ohio,0.25,0.086,0.111,0.284,0.129,0.139,2010,12569,500515.3,38958,220485,1513715,9766291,0.45,3507,0.1
Oklahoma,0.268,0.092,0.119,0.267,0.12,0.135,2010,5229,154287.4,389258,79744,320951,2970061,0.45,1295,0.069
Oregon,0.239,0.09,0.123,0.274,0.136,0.139,2010,19492,164137.2,81963,180013,94957,3480681,0.45,1710,0.107
Pennsylvania,0.235,0.088,0.107,0.285,0.132,0.154,2010,14516,604736.8,47478,385443,1510499,10767986,0.46,5695,0.084
Rhode Island,0.229,0.098,0.106,0.293,0.131,0.142,2010,1282,49468.3,10602,35822,85000,922570,0.47,1704,0.117
South Carolina,0.251,0.093,0.11,0.278,0.131,0.138,2010,4473,165860.0,26761,71110,1332407,3205568,0.46,1382,0.112
South Dakota,0.267,0.09,0.113,0.267,0.121,0.142,2010,731,37852.5,77268,9053,13779,716093,0.44,198,0.051
Tennessee,0.251,0.088,0.116,0.284,0.127,0.135,2010,10276,257776.0,28335,107514,1100979,5118690,0.47,1190,0.098
Texas,0.291,0.099,0.126,0.276,0.106,0.103,2010,35121,1245959.4,276817,1100149,3170463,20694468,0.47,14908,0.082
Utah,0.333,0.111,0.145,0.234,0.088,0.09,2010,3284,118669.8,46142,94901,42694,2591676,0.42,1019,0.081
Vermont,0.22,0.08,0.105,0.298,0.151,0.147,2010,1220,27406.6,3011,8787,8508,605580,0.44,109,0.064
Virginia,0.249,0.09,0.119,0.294,0.124,0.124,2010,9080,426992.4,46517,496252,1645955,5835280,0.46,5990,0.071
